id,name,state,district,address,hospital_type,empanelled_schemes,specialties,helpline,pmam_desk,beds,rating,latitude,longitude
HOSP-BIH-001,"AIIMS Patna (All India Institute of Medical Sciences)",Bihar,Patna,"Phulwari Sharif, Khagaul Road, Patna, Bihar 801507","Public (Apex Institute)","PM-JAY|MMJAY","Dialysis|Cardiac|Maternity|Oncology",0612-2451006,"Ayushman Mitra Counter, Ground Floor, OPD Block A",960,4.8,25.5604,85.0442
HOSP-BIH-002,"IGIMS (Indira Gandhi Institute of Medical Sciences)",Bihar,Patna,"Bailey Road, Sheikhpura, Patna, Bihar 800014","Public (State Autonomous)","PM-JAY|MMJAY","Dialysis|Cardiac|Maternity|Oncology",0612-2297631,"Ayushman Helpdesk, New OPD Entrance",1070,4.6,25.6186,85.0883
HOSP-BIH-003,"Paras HMRI Hospital",Bihar,Patna,"NH-30, Bailey Road, Raja Bazar, Patna, Bihar 800014","Private Empanelled","PM-JAY","Dialysis|Cardiac|Oncology|Maternity",0612-7107777,"TPA & Ayushman Desk, Reception Area",350,4.5,25.6174,85.0932
HOSP-BIH-004,"Mahavir Cancer Sansthan & Research Centre",Bihar,Patna,"Phulwarisharif, Patna, Bihar 801505","Trust / Non-Profit Empanelled","PM-JAY|MMJAY","Oncology",0612-2250127,"Patient Welfare & Ayushman Registration Desk",650,4.7,25.5786,85.0745
HOSP-BIH-005,"ANMMCH (Anugrah Narayan Magadh Medical College)",Bihar,Gaya,"Sherghati Road, Medical College Campus, Gaya, Bihar 823001","Public (Govt Medical College)","PM-JAY|MMJAY","Dialysis|Maternity|Cardiac",0631-2220024,"Central Registration Building, Ayushman Room",500,4.2,24.7788,84.9754
HOSP-BIH-006,"SKMCH (Sri Krishna Medical College and Hospital)",Bihar,Muzaffarpur,"Uma Nagar, Muzaffarpur, Bihar 842004","Public (Govt Medical College)","PM-JAY|MMJAY","Maternity|Dialysis|Cardiac",0621-2230180,"Ayushman Mitra Room, Main Hospital Gate",610,4.1,26.1554,85.3948
HOSP-KAR-001,"Sri Jayadeva Institute of Cardiovascular Sciences and Research",Karnataka,"Bengaluru Urban","Bannerghatta Road, 9th Block, Jayanagar, Bengaluru, Karnataka 560069","Public (Autonomous Govt Cardiac Super-Specialty)","PM-JAY|Arogya Karnataka","Cardiac",080-22977400,"Arogya Mitra Counter, Block B, Main OPD Concourse",1150,4.9,12.9179,77.5937
HOSP-KAR-002,"Kidwai Memorial Institute of Oncology",Karnataka,"Bengaluru Urban","Dr. M.H. Marigowda Road, Near Dairy Circle, Bengaluru, Karnataka 560029","Public (Regional Cancer Centre)","PM-JAY|Arogya Karnataka","Oncology",080-26094000,"Arogya Mitra Assistance Booth, Registration Hall",625,4.8,12.9416,77.5959
HOSP-KAR-003,"Victoria Hospital & INU (Institute of Nephro-Urology)",Karnataka,"Bengaluru Urban","Fort, Near City Market, Kalasipalyam, Bengaluru, Karnataka 560002","Public (Apex Teaching Hospital)","PM-JAY|Arogya Karnataka","Dialysis|Maternity|Cardiac",080-26701150,"Suvarna Arogya Suraksha Trust (SAST) Ayushman Desk",1000,4.5,12.9642,77.5748
HOSP-KAR-004,"Narayana Institute of Cardiac Sciences",Karnataka,"Bengaluru Urban","258/A, Bommasandra Industrial Area, Anekal Taluk, Bengaluru, Karnataka 560099","Private Empanelled","PM-JAY|Arogya Karnataka","Cardiac|Dialysis|Oncology",080-71222222,"Govt Scheme Services Desk, Ground Floor lobby",1400,4.8,12.8136,77.6934
HOSP-KAR-005,"Cheluvamba & K.R. Hospital (Mysore Medical College)",Karnataka,Mysuru,"Irwin Road, Mandi Mohalla, Mysuru, Karnataka 570001","Public (Govt Tertiary Hospital)","PM-JAY|Arogya Karnataka","Maternity|Dialysis|Cardiac|Oncology",0821-2520512,"K.R. Hospital Main Entrance, SAST Desk",1050,4.4,12.3146,76.6508
HOSP-KAR-006,"KIMS Hospital & Research Centre",Karnataka,Hubballi,"Vidyanagar, PB Road, Hubballi, Karnataka 580022","Public (Govt Teaching Hospital)","PM-JAY|Arogya Karnataka","Dialysis|Cardiac|Maternity|Oncology",0836-2373348,"Arogya Karnataka Help Centre, OPD Block",1200,4.3,15.3647,75.1240
